Energy 	Pixel 	
826.97613 	1245.3211 	
829.00915 	1237.5727 	
831.01543 	1229.897 	
833.00506 	1222.3781 	
835.00425 	1214.7887 	
837.01305 	1207.174 	
839.02084 	1199.1671 	
841.00602 	1184.0234 	
843.00601 	1184.0131 	
845.00469 	1176.3811 	
847.0074 	1168.839 	
849.00868 	1161.228 	
851.01392 	1153.801 	
853.01207 	1146.5245 	
855.01406 	1139.024 	
857.00871 	1131.3566 	
858.98464 	1124.0055 	
861.02607 	1116.4837 	
863.03759 	1109.2232 	
865.03007 	1101.9943 	
867.00892 	1094.6918 	
869.00258 	1087.4013 	
871.02273 	1079.9315 	
