Pixel 	Energy 	
696.0021 	708.22347 	
697.99677 	697.938 	
700.00291 	687.67046 	
702.00562 	677.57673 	
703.99721 	667.50884 	
706.01151 	657.36784 	
708.02593 	647.16911 	
710.00588 	637.36005 	
711.98538 	627.52358 	
714.00308 	617.45 	
