Pixel 	Energy 	
826.98653 	120.35103 	
829.00915 	112.60432 	
831.01543 	104.82277 	
833.01562 	97.207708 	
835.00955 	89.398907 	
837.01838 	81.546493 	
839.02084 	73.760886 	
841.0114 	66.297069 	
843.00601 	58.619489 	
845.01554 	50.998538 	
847.0074 	43.535788 	
849.00868 	36.02922 	
851.00291 	28.451971 	
